TITLE,LOCATION,RUNNINGCOUNT,SHORTDEF,DCC FREQUENCY GROUP,DCC SEMANTIC GROUP,,
SVSCIPIO,937,937,take up,10,Verbs of Transport,,
QVASI/1,938,938,as if,10,Conjunctions/Adverbs,,
SACERDOS,939,939,"priest, priestess",10,Religion,,
VICINVS/2,940,940,"neighboring, near",10,Geography,,
CAVEO,941,941,"be on guard, beware",10,Violence,,
ELIGO/3,942,942,"pick out, select",10,The City,,
FAMILIA,943,943,"household, family",10,The Household,,
PAENE,944,944,almost,10,Conjunctions/Adverbs,,
PRAECIPIO,945,945,"anticipate, advise, warn",10,Speech/Oratory,,
SANVS,946,946,"sound, sane",10,Life and Being,,
POTIS,947,947,"powerful, able",10,Personality Traits/Characteristics,,
PRINCIPIVM,948,948,beginning,10,Time,,
SEPVLCRVM,949,949,"place of burial, tomb, grave",10,Life and Being,,
MORTALIS/2,950,950,"liable to death, mortal; (as subst.) a mortal",10,Life and Being,,
EPISTOLA,951,951,letter,10,Writing/Poetry,,
INIMICVS/2,952,952,unfriendly, (as subst.) enemy,10,Personality Traits/Characteristics,
INTERROGO,953,953,"put a question to, ask (+ acc.)",10,Speech/Oratory,,
CONSVETVDO,954,954,"custom, habit",10,Personality Traits/Characteristics,,
ILLVC,955,955,to that place,10,Place,,
DIGNITAS,956,956,"worth, reputation, honor",10,Personality Traits/Characteristics,,
FVGO,957,957,put to flight,10,Travel,,
AFFICIO,958,958,"affect, visit with (+ abl.)",10,Social Life,,
ADHIBEO,959,959,apply,10,Making/Doing,,
CAELESTIS,960,960,"from or of heaven; caelestēs, the gods",10,Air and Fire,,
MVLIER,961,961,woman,10,People,,
DIVVS/1,962,962,"divine, godlike; (as subst.) a god",10,Religion,,
ARBITROR,963,963,"consider, think",10,Education/Knowledge,,
POSTEA,964,964,afterwards,10,Time,,
AEDES,965,965,building, (pl.) house,10,The House,
FABVLA/1,966,966,"account, tale, story",10,Writing/Poetry,,
CELERITER,967,967,quickly,10,Time,,
PLERVSQVE,968,968,"the greater part, very many, most, the majority",10,Measurement,,
QVIESCO,969,969,keep quiet, sleep,10,Life and Being,
QVOTIENS/2,970,970,"interr. how many times? how often? rel. as often as, whenever",10,Pronouns/Interrogatives,,
SCIENTIA,971,971,knowledge,10,Education/Knowledge,,
CONFITEOR,972,972,"admit (a fact), confess (a crime); reveal, disclose",10,Justice,,
DILIGO/3,973,973,"choose, cherish, love",10,Love,,
PLERVMQVE,974,974,generally,10,Measurement,,
DORMIO,975,975,sleep,10,Life and Being,,
VOLVCRIS,976,976,bird,10,Animals/Plants,,
VOLVCER,977,977,flying,10,Animals/Plants,,
CREO,978,978,"produce, create; elect, choose",10,Making/Doing,,
FIDELIS/2,979,979,faithful,10,Personality Traits/Characteristics,,
INDICO/1,980,980,"point out, show, make known",10,Speech/Oratory,,
HODIE,981,981,today,10,Lengths of Time,,
DISCIPLINA,982,982,"training, instruction; learning, discipline",10,Education/Knowledge,,
VERE,983,983,truly,10,Speech/Oratory,,
AEGRE,984,984,with difficulty,10,Life and Being,,
FVTVRVM,985,985,0,10,Life and Being,,
ADVERTO,986,986,turn towards,10,Motion,,
ADVENIO,987,987,"come to, arrive at",10,Travel,,
PENDO,988,988,"weigh, hang, suspend; pay",10,Business/Money,,
STVDEO,989,989,"be eager, be zealous, care for (+ dat.)",10,Emotions,,
ASCENDO,990,990,"climb up, ascend",10,Travel,,
VVLGO/2,991,991,commonly,10,The City,,
FORS/1,993,993,chance,10,Religion,,
REVERTO,995,995,turn back,10,Motion,,
EDICO/2,996,996,declare,10,Speech/Oratory,,
MVNDVS/1,997,997,"clean, neat, elegant",4,Earth and Water,,
